alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218238.3404,elite,111.46167064885,1745126327.5068,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848894,1763023739.0329,80,http,http://104.16.194.171:80,false,13.62419128418,80471,226,99.719940022554,104.16.194.171
true,1759208522.5486,elite,131.73235008393,1758315114.9541,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762549287,1763023738.9974,80,http,http://104.18.200.99:80,false,17.782926559448,31985,1,99.996873632214,104.18.200.99
true,1762165006.4346,elite,110.37732861938,1721629691.151,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849375,1763023738.9196,80,http,http://172.67.185.176:80,false,14.62197303772,80597,3783,95.516710120882,172.67.185.176
true,1761555719.0478,elite,110.839110299,1745119496.809,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848946,1763023738.8829,80,http,http://104.18.0.89:80,false,19.03223991394,80656,2851,96.585914953237,104.18.0.89
true,1758182675.5449,elite,110.68641363091,1742356341.6539,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Cloudflare London, LLC",52.3676,4.90414,false,"Servers COM",true,"North Holland",success,Europe/Amsterdam,1012,1762848850,1763023738.7279,80,http,http://188.42.89.8:80,false,16.07084274292,81354,3397,95.99178770752,188.42.89.8
true,1759208347.2886,elite,110.9236299086,1750609636.5298,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Tehran,Asia,AS,Iran,IR,,true,"Cloudflare London, LLC",35.7219,51.3347,false,Cloudhop,true,Tehran,success,Asia/Tehran,,1762849278,1763023738.6071,80,http,http://45.131.4.170:80,false,19.447803497314,81025,89,99.890277880514,45.131.4.170
true,1758182618.8137,elite,110.71040154185,1742383574.7198,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Basingstoke,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",51.2606,-1.08878,false,"Hogg Robinson Limited",true,England,success,Europe/London,RG21,1762849337,1763023738.262,80,http,http://194.36.55.175:80,false,13.269424438477,81172,3330,96.059264869471,194.36.55.175
true,1759218362.6657,elite,111.05926477704,1742383104.2774,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Cloudflare London, LLC",50.1109,8.68213,false,"DomainContext Inc",true,Hesse,success,Europe/Berlin,60313,1762849121,1763023737.8947,80,http,http://45.159.217.225:80,false,14.342308044434,81350,3384,96.006325678004,45.159.217.225
true,1758180460.8632,elite,110.12824147764,1720613695.9692,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849218,1763023737.8626,80,http,http://172.67.193.150:80,false,16.872882843018,80568,4749,94.433700200429,172.67.193.150
true,1759218129.7749,elite,111.06867253192,1742385129.2907,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Kyiv,Europe,EU,Ukraine,UA,,true,"Cloudflare London, LLC",50.4504,30.5245,false,"Demenin B.V",true,"Kyiv City",success,Europe/Kiev,01011,1762849087,1763023737.8512,80,http,http://194.152.44.100:80,false,14.896154403687,81186,3361,96.024696322755,194.152.44.100
